OlinkID,epvs_6_nobs,epvs_6_beta,epvs_6_se,epvs_6_pvalue,epvs_6_fdr,cv_percent,UniProt,Assay,Panel,Retain
OID20419,923,0.004856816096938792,0.029218851530545018,0.868019493502472,0.9400596441303171,109.22508504950703,P60568,IL2,Inflammation,Unique Protein
OID20420,923,-0.02575419107436964,0.031370287554921335,0.4118779858648062,0.6599975372993448,31.10658954150653,Q13651,IL10RA,Inflammation,Unique Protein
OID20421,923,-0.015922727238431977,0.02919142737918422,0.5855727159550594,0.7812090592134362,41.82230943016657,Q13219,PAPPA,Inflammation,Unique Protein
OID20422,923,-0.010941185579275581,0.033184881847315696,0.7417002422524425,0.8798659935486564,38.83128161762722,Q9UHF4,IL20RA,Inflammation,Unique Protein
OID20423,923,0.011396034519236587,0.03145238570278097,0.7171928903520428,0.8698567711614195,30.402363868405207,P63241,EIF5A,Inflammation,Unique Protein
OID20424,923,-0.04531885876880637,0.029206952272044576,0.12109765940661064,0.34499849751025624,37.25206297851802,P05412,JUN,Inflammation,Unique Protein
OID20425,923,0.0784290367990712,0.03175449226404678,0.013700833744574743,0.17467399000688585,62.96770911361362,Q96AX2,RAB37,Inflammation,Unique Protein
OID20426,923,-0.022343258887416503,0.03075606648061243,0.46774117190511744,0.7022123500147193,735.1626198185713,P05112,IL4,Inflammation,Unique Protein
OID20427,923,0.017527398697916398,0.030466229991562083,0.5652279824585211,0.7621194881180477,85.8218402734492,P01584,IL1B,Inflammation,Unique Protein
OID20428,923,-0.022340690048634752,0.031056242200580286,0.47210404418483676,0.7058619545535948,39.78103766546303,O95760,IL33,Inflammation,Unique Protein
OID20429,923,-0.01291755784248381,0.03468535400318045,0.7096668276894949,0.8638274985400627,25.618731324586996,Q8NHJ6,LILRB4,Inflammation,Unique Protein
OID20430,923,0.01844988119353871,0.030503246808131733,0.5454309581987622,0.7497353608306502,50.12271961934438,P35225,IL13,Inflammation,Unique Protein
OID20431,923,0.04064906717272805,0.031480533119172906,0.19694969608648003,0.44922747131477286,35.51207261299738,P22301,IL10,Inflammation,Unique Protein
