OlinkID,epvs_basalganglia_6_nobs,epvs_basalganglia_6_beta,epvs_basalganglia_6_se,epvs_basalganglia_6_pvalue,epvs_basalganglia_6_fdr,cv_percent,UniProt,Assay,Panel,Retain
OID20419,923,-0.010023311954409567,0.028580510866752108,0.7258920753964482,0.8975391439863867,109.22508504950703,P60568,IL2,Inflammation,Unique Protein
OID20420,923,-0.03259109827813427,0.03067869475149717,0.28836758632154985,0.6121266919519901,31.10658954150653,Q13651,IL10RA,Inflammation,Unique Protein
OID20421,923,-0.02091278668265673,0.028551874601560306,0.4640851629404046,0.7557541814133826,41.82230943016657,Q13219,PAPPA,Inflammation,Unique Protein
OID20422,923,0.01230216854491152,0.032527314974908565,0.705363394822846,0.8865544172046644,38.83128161762722,Q9UHF4,IL20RA,Inflammation,Unique Protein
OID20423,923,0.02087128589114252,0.030817382842605316,0.4984168082160928,0.7765843978761403,30.402363868405207,P63241,EIF5A,Inflammation,Unique Protein
OID20424,923,-0.010060804475209031,0.02861096494445928,0.7251893081615692,0.8975391439863867,37.25206297851802,P05412,JUN,Inflammation,Unique Protein
OID20425,923,0.08051932407532846,0.031052988866204282,0.009669487120722057,0.33031897563284185,62.96770911361362,Q96AX2,RAB37,Inflammation,Unique Protein
OID20426,923,0.0050284371449758405,0.03009395894561659,0.8673357450746826,0.9578872232460672,735.1626198185713,P05112,IL4,Inflammation,Unique Protein
OID20427,923,0.04673421984553838,0.02977367803062184,0.1168479221740734,0.402767071361812,85.8218402734492,P01584,IL1B,Inflammation,Unique Protein
OID20428,923,0.002458273809003753,0.03038825229585264,0.9355429991313386,0.9811663733664503,39.78103766546303,O95760,IL33,Inflammation,Unique Protein
OID20429,923,0.04789298163513895,0.033894811650267184,0.15800443128231892,0.4627724976334852,25.618731324586996,Q8NHJ6,LILRB4,Inflammation,Unique Protein
OID20430,923,0.01615389384977234,0.029882332553613174,0.5889283462132688,0.8329388505015209,50.12271961934438,P35225,IL13,Inflammation,Unique Protein
OID20431,923,0.04839895271778844,0.030803268285401263,0.1164808184862175,0.4019757171608191,35.51207261299738,P22301,IL10,Inflammation,Unique Protein
OID20432,923,0.016347943342084996,0.03024815796717253,0.5890128648602955,0.8329388505015209,57.97285671459355,P27540,ARNT,Inflammation,Unique Protein
OID20433,923,0.04508581544032639,0.029323790965110466,0.1245179384635606,0.4164306309025509,82.36731004574459,O95379,TNFAIP8,Inflammation,Unique Protein
OID20434,923,0.03133606263140962,0.027379601162156965,0.2527186320143203,0.5726329933161692,48.03796732575595,Q8WV07,LTO1,Inflammation,Unique Protein
OID20435,923,0.0388133929585276,0.030231528428376994,0.19951703492525286,0.510672761021466,29.017743628845672,O43707,ACTN4,Inflammation,Unique Protein
OID20436,923,0.04333029325424272,0.02984196188334733,0.1468519157592162,0.44389674225872694,54.69405784157634,P28838,LAP3,Inflammation,Unique Protein
OID20437,923,-0.049113901963489644,0.029871414033723318,0.10048842068378709,0.3828462287273232,20.55292359496504,Q9NP70,AMBN,Inflammation,Unique Protein
OID20438,923,-0.08996205022335181,0.030664050987660087,0.0034333607182540607,0.33031897563284185,19.364964768188074,Q6UXK5,LRRN1,Inflammation,Unique Protein
OID20439,923,0.02898290393541926,0.03260141654423721,0.37423632950819774,0.6862564561809673,22.640700870887816,Q9HCU5,PREB,Inflammation,Unique Protein
OID20440,923,-0.006513409034616566,0.028627248497489242,0.8200673038611708,0.9427219860751983,75.51413479301999,Q13007,IL24,Inflammation,Unique Protein
OID20441,923,0.05361667269056593,0.030463767380102966,0.07874464060400212,0.3568536193573615,56.82637189594944,Q9UPV0,CEP164,Inflammation,Unique Protein
