OlinkID,epvs_insula_1_nobs,epvs_insula_1_beta,epvs_insula_1_se,epvs_insula_1_pvalue,epvs_insula_1_fdr,cv_percent,UniProt,Assay,Panel,Retain
OID20419,906,0.012132210348235858,0.031790660850132275,0.7028289294450447,0.9953590097212025,109.22508504950703,P60568,IL2,Inflammation,Unique Protein
OID20420,906,-0.013040446556918781,0.03304900884277606,0.6932487519770648,0.9953590097212025,31.10658954150653,Q13651,IL10RA,Inflammation,Unique Protein
OID20421,906,0.010523218015429015,0.03380869486356294,0.7556780743196678,0.9953590097212025,41.82230943016657,Q13219,PAPPA,Inflammation,Unique Protein
OID20422,906,-0.040630880918289716,0.03379215296100572,0.2295397660794999,0.9953590097212025,38.83128161762722,Q9UHF4,IL20RA,Inflammation,Unique Protein
OID20423,906,-0.0034651744559412766,0.033202123470404805,0.9169025378474767,0.9953590097212025,30.402363868405207,P63241,EIF5A,Inflammation,Unique Protein
OID20424,906,-0.006874385065748471,0.033703156073218665,0.8384249938115808,0.9953590097212025,37.25206297851802,P05412,JUN,Inflammation,Unique Protein
OID20425,906,0.027992065560235663,0.033734046000881986,0.4068833629876458,0.9953590097212025,62.96770911361362,Q96AX2,RAB37,Inflammation,Unique Protein
OID20426,906,0.05782492477242116,0.03376285819262912,0.08712235051539105,0.9953590097212025,735.1626198185713,P05112,IL4,Inflammation,Unique Protein
OID20427,906,0.003575690716703222,0.033606739744143285,0.9152907000447676,0.9953590097212025,85.8218402734492,P01584,IL1B,Inflammation,Unique Protein
OID20428,906,-0.035935240944534055,0.035415083552701426,0.31053247013423724,0.9953590097212025,39.78103766546303,O95760,IL33,Inflammation,Unique Protein
OID20429,906,0.020412182928788603,0.03558450095232937,0.5663670449337289,0.9953590097212025,25.618731324586996,Q8NHJ6,LILRB4,Inflammation,Unique Protein
OID20430,906,-0.01585405790169471,0.03388752922470004,0.6400118754291022,0.9953590097212025,50.12271961934438,P35225,IL13,Inflammation,Unique Protein
OID20431,906,0.032126149202200464,0.03334543061530475,0.33559282256159495,0.9953590097212025,35.51207261299738,P22301,IL10,Inflammation,Unique Protein
OID20432,906,-0.00798303118222284,0.03398673220270861,0.8143510727361061,0.9953590097212025,57.97285671459355,P27540,ARNT,Inflammation,Unique Protein
OID20433,906,0.010321664337864871,0.036248959245651115,0.7759071662386452,0.9953590097212025,82.36731004574459,O95379,TNFAIP8,Inflammation,Unique Protein
OID20434,906,0.010615514194931482,0.032432510030986635,0.7435102377535663,0.9953590097212025,48.03796732575595,Q8WV07,LTO1,Inflammation,Unique Protein
OID20435,906,0.05964101096928256,0.036080442986912445,0.09868571369948709,0.9953590097212025,29.017743628845672,O43707,ACTN4,Inflammation,Unique Protein
OID20436,906,-0.008564636074813944,0.033207079070304894,0.796531787599141,0.9953590097212025,54.69405784157634,P28838,LAP3,Inflammation,Unique Protein
OID20437,906,0.022033715951076473,0.035516249612804716,0.5351648455613014,0.9953590097212025,20.55292359496504,Q9NP70,AMBN,Inflammation,Unique Protein
