OlinkID,fa_6_nobs,fa_6_beta,fa_6_se,fa_6_pvalue,fa_6_fdr,cv_percent,UniProt,Assay,Panel,Retain
OID20419,1167,0.04379546029984441,0.025850856130449042,0.09050655305770855,0.815269922750913,109.22508504950703,P60568,IL2,Inflammation,Unique Protein
OID20420,1167,0.013036066859260613,0.026000656275923392,0.6162037710029089,0.8669619254236712,31.10658954150653,Q13651,IL10RA,Inflammation,Unique Protein
OID20421,1167,-0.008194916206938466,0.026428497427565374,0.7565573781327681,0.9148154997953333,41.82230943016657,Q13219,PAPPA,Inflammation,Unique Protein
OID20422,1167,0.040678082919644615,0.026544269057071662,0.12568422959440623,0.8167689921326987,38.83128161762722,Q9UHF4,IL20RA,Inflammation,Unique Protein
OID20423,1167,-0.04446109529046362,0.026179209223337562,0.08971556680151244,0.815269922750913,30.402363868405207,P63241,EIF5A,Inflammation,Unique Protein
OID20424,1167,-0.02402294943095015,0.02683897092683228,0.3709336413242985,0.819280188807901,37.25206297851802,P05412,JUN,Inflammation,Unique Protein
OID20425,1167,-0.01076590540508376,0.027004495557007787,0.6902099471496878,0.8958630885961533,62.96770911361362,Q96AX2,RAB37,Inflammation,Unique Protein
OID20426,1167,-0.018578246397275865,0.026424085093198657,0.4821485565907092,0.8398809481016942,735.1626198185713,P05112,IL4,Inflammation,Unique Protein
OID20427,1167,-0.02776903409111052,0.026398659316954756,0.2930620465805878,0.8167689921326987,85.8218402734492,P01584,IL1B,Inflammation,Unique Protein
OID20428,1167,0.042405225451709806,0.02629718643808276,0.10711989882684265,0.8167689921326987,39.78103766546303,O95760,IL33,Inflammation,Unique Protein
OID20429,1167,0.007465628969208741,0.030166786080030827,0.8045822714732526,0.9361381477367622,25.618731324586996,Q8NHJ6,LILRB4,Inflammation,Unique Protein
OID20430,1167,0.05779247254216503,0.025808338022452484,0.025327828841490475,0.6582526682971818,50.12271961934438,P35225,IL13,Inflammation,Unique Protein
OID20431,1167,-0.013175694148554285,0.026852379869717266,0.6237527503471822,0.8682573928882467,35.51207261299738,P22301,IL10,Inflammation,Unique Protein
OID20432,1167,0.00948420844697997,0.026931769499738384,0.7247852891389432,0.9056740717994883,57.97285671459355,P27540,ARNT,Inflammation,Unique Protein
OID20433,1167,-0.0214371200187611,0.02625366446501217,0.4143619330860805,0.8236657833631029,82.36731004574459,O95379,TNFAIP8,Inflammation,Unique Protein
OID20434,1167,-0.02539191793469039,0.025700454926471616,0.3233635217321412,0.8167689921326987,48.03796732575595,Q8WV07,LTO1,Inflammation,Unique Protein
OID20435,1167,-0.0070849966964286575,0.026371778358415098,0.7882409696551508,0.9306770082264504,29.017743628845672,O43707,ACTN4,Inflammation,Unique Protein
OID20436,1167,-0.0033815039392164057,0.026058032951618258,0.8967725783535192,0.9694833044666394,54.69405784157634,P28838,LAP3,Inflammation,Unique Protein
OID20437,1167,0.049193679240886176,0.025564069654351273,0.05456052876674601,0.7529574289955945,20.55292359496504,Q9NP70,AMBN,Inflammation,Unique Protein
OID20438,1167,0.014068380695667551,0.02723557358350133,0.6055738691180546,0.8624289675682237,19.364964768188074,Q6UXK5,LRRN1,Inflammation,Unique Protein
OID20439,1167,-0.0411357536200713,0.026616876933175604,0.12250693196692967,0.8167689921326987,22.640700870887816,Q9HCU5,PREB,Inflammation,Unique Protein
OID20440,1167,-0.0016731956909738725,0.02606271061937517,0.9488230903615893,0.9894199862722289,75.51413479301999,Q13007,IL24,Inflammation,Unique Protein
OID20441,1167,-0.015974721130793287,0.026585035814351097,0.5480309977711608,0.8539188743362123,56.82637189594944,Q9UPV0,CEP164,Inflammation,Unique Protein
OID20442,1167,-0.03565295515275434,0.026356524236368372,0.1764122022229767,0.8167689921326987,44.44320334646435,O60934,NBN,Inflammation,Unique Protein
OID20443,1167,0.05595404438535473,0.026166849471423004,0.03269863826265214,0.7098331093233929,44.00918429661865,Q96P31,FCRL3,Inflammation,Unique Protein
OID20444,1167,-0.003221905282119046,0.02695657415704967,0.9048826939898411,0.9702759040837511,46.23530058211611,Q9Y478,PRKAB1,Inflammation,Unique Protein
OID20445,1167,-0.027161476538973568,0.026806992386981462,0.311167068009637,0.8167689921326987,49.70535334698695,Q8TCS8,PNPT1,Inflammation,Unique Protein
OID20446,1167,0.04047619659559926,0.025791381552278607,0.11683777496975375,0.8167689921326987,45.46664449338745,Q5T4W7,ARTN,Inflammation,Unique Protein
OID20447,1167,-0.00790028562813116,0.026870170554957506,0.7687981458013401,0.9193493708578159,38.675053486387775,Q5R372,RABGAP1L,Inflammation,Unique Protein
OID20448,1167,0.008720602840957029,0.027323157404567616,0.749659308450749,0.9120335708334041,45.278415623434164,Q969V3,NCLN,Inflammation,Unique Protein
OID20449,1167,0.01023770101216314,0.026192806813190587,0.6959738571488565,0.8982143188425392,26.739425433157088,Q8N6P7,IL22RA1,Inflammation,Unique Protein
OID20450,1167,0.043217574109022154,0.02565013827078343,0.09228248562792744,0.815269922750913,80.80649988561991,P14784,IL2RB,Inflammation,Unique Protein
OID20451,1167,-0.031238745290661937,0.026480453537581543,0.2383678634480075,0.8167689921326987,66.67122054021792,Q13459,MYO9B,Inflammation,Unique Protein
