OlinkID,wmh_6_nobs,wmh_6_beta,wmh_6_se,wmh_6_pvalue,wmh_6_fdr,cv_percent,UniProt,Assay,Panel,Retain
OID20419,930,-0.0011035066000428177,0.028569925243949343,0.9691980490738261,0.9978816894349033,109.22508504950703,P60568,IL2,Inflammation,Unique Protein
OID20420,930,-0.03894951944936073,0.030551136204655063,0.2026722051800844,0.9715972559934978,31.10658954150653,Q13651,IL10RA,Inflammation,Unique Protein
OID20421,930,0.011765631887059204,0.02847010280024971,0.6795117223163487,0.9839751849637975,41.82230943016657,Q13219,PAPPA,Inflammation,Unique Protein
OID20422,930,-0.014897713879160453,0.032470261522549074,0.6464796816191878,0.9800328918981532,38.83128161762722,Q9UHF4,IL20RA,Inflammation,Unique Protein
OID20423,930,0.0026375057286303675,0.030840134302936827,0.9318653686162934,0.9978816894349033,30.402363868405207,P63241,EIF5A,Inflammation,Unique Protein
OID20424,930,-0.0031393354130843103,0.02943463836331487,0.9150866722749254,0.9978816894349033,37.25206297851802,P05412,JUN,Inflammation,Unique Protein
OID20425,930,0.01959593563158374,0.03124811260048687,0.5307462128511995,0.9715972559934978,62.96770911361362,Q96AX2,RAB37,Inflammation,Unique Protein
OID20426,930,0.04134050396622991,0.029906424217120142,0.16721076130972282,0.9715972559934978,735.1626198185713,P05112,IL4,Inflammation,Unique Protein
OID20427,930,0.011976204287832321,0.029680611929926857,0.6866735182863346,0.9839751849637975,85.8218402734492,P01584,IL1B,Inflammation,Unique Protein
OID20428,930,-0.025515422796230664,0.030187895466036507,0.39821049603212766,0.9715972559934978,39.78103766546303,O95760,IL33,Inflammation,Unique Protein
OID20429,930,0.018935308566100897,0.03370425784277878,0.5743857494373996,0.9715972559934978,25.618731324586996,Q8NHJ6,LILRB4,Inflammation,Unique Protein
OID20430,930,-0.014139907586585405,0.030426556713621985,0.6422415587886936,0.9800328918981532,50.12271961934438,P35225,IL13,Inflammation,Unique Protein
OID20431,930,-0.008847775843379991,0.030471643351561245,0.7716064015591864,0.9924559803865418,35.51207261299738,P22301,IL10,Inflammation,Unique Protein
OID20432,930,-0.05649528054629878,0.030151350917663546,0.06128959839780068,0.9715972559934978,57.97285671459355,P27540,ARNT,Inflammation,Unique Protein
OID20433,930,0.0032152452924747955,0.029328624552384597,0.9127284421242543,0.9978816894349033,82.36731004574459,O95379,TNFAIP8,Inflammation,Unique Protein
OID20434,930,0.047427923985927545,0.027328575629538505,0.08299685271130747,0.9715972559934978,48.03796732575595,Q8WV07,LTO1,Inflammation,Unique Protein
OID20435,930,0.06577947044673174,0.031078349976938268,0.03456795593462602,0.9715972559934978,29.017743628845672,O43707,ACTN4,Inflammation,Unique Protein
OID20436,930,0.0049312972301690725,0.03032882885689412,0.8708739862807082,0.9959854786146218,54.69405784157634,P28838,LAP3,Inflammation,Unique Protein
OID20437,930,0.009990265818787092,0.029881683525227968,0.7382097152013494,0.9920158219912458,20.55292359496504,Q9NP70,AMBN,Inflammation,Unique Protein
OID20438,930,0.0032679875706646895,0.030673319384124993,0.9151761061198379,0.9978816894349033,19.364964768188074,Q6UXK5,LRRN1,Inflammation,Unique Protein
OID20439,930,0.03817558125306751,0.032439867731018895,0.23957949897626507,0.9715972559934978,22.640700870887816,Q9HCU5,PREB,Inflammation,Unique Protein
OID20440,930,-8.814095347934611e-4,0.02883238445536269,0.9756190874331325,0.9978816894349033,75.51413479301999,Q13007,IL24,Inflammation,Unique Protein
OID20441,930,0.042286690383671804,0.030379611301892366,0.16428047119736486,0.9715972559934978,56.82637189594944,Q9UPV0,CEP164,Inflammation,Unique Protein
OID20442,930,0.005774947136130799,0.03017933200681266,0.8482907447314509,0.9959854786146218,44.44320334646435,O60934,NBN,Inflammation,Unique Protein
OID20443,930,-0.07977528740662641,0.029489915968800663,0.006954772525239242,0.8470333371364295,44.00918429661865,Q96P31,FCRL3,Inflammation,Unique Protein
OID20444,930,0.009040047375606503,0.030456250116949454,0.7666712367521771,0.9924559803865418,46.23530058211611,Q9Y478,PRKAB1,Inflammation,Unique Protein
OID20445,930,0.013523420653743802,0.029744987808024502,0.649473067322984,0.9800328918981532,49.70535334698695,Q8TCS8,PNPT1,Inflammation,Unique Protein
OID20446,930,-0.03435446228810045,0.028458281332288723,0.22767457921374767,0.9715972559934978,45.46664449338745,Q5T4W7,ARTN,Inflammation,Unique Protein
OID20447,930,0.03315016224202543,0.03069820600546805,0.28048551153906465,0.9715972559934978,38.675053486387775,Q5R372,RABGAP1L,Inflammation,Unique Protein
OID20448,930,-0.04572211278599695,0.0295557202839966,0.12221647579857481,0.9715972559934978,45.278415623434164,Q969V3,NCLN,Inflammation,Unique Protein
OID20449,930,-0.05358496432695352,0.03130443547525992,0.0872866044712423,0.9715972559934978,26.739425433157088,Q8N6P7,IL22RA1,Inflammation,Unique Protein
OID20450,930,-0.03520858606121689,0.028512609477486902,0.21720851864233456,0.9715972559934978,80.80649988561991,P14784,IL2RB,Inflammation,Unique Protein
OID20451,930,0.022232190764476006,0.03059858896743093,0.46767318758101917,0.9715972559934978,66.67122054021792,Q13459,MYO9B,Inflammation,Unique Protein
OID20452,930,0.04234198104437975,0.02873967862061162,0.14101848326509642,0.9715972559934978,43.18469629954743,P19801,AOC1,Inflammation,Unique Protein
OID20453,930,-0.020790874358385884,0.03157090347091454,0.5103546566503249,0.9715972559934978,40.919860523329646,Q9NYY1,IL20,Inflammation,Unique Protein
OID20454,930,-0.029032448685812912,0.028104208605672174,0.30186561793819855,0.9715972559934978,51.46574703245831,P57771,RGS8,Inflammation,Unique Protein
OID20455,930,0.06562195053178764,0.029279349721799106,0.02525169994098415,0.9715972559934978,55.82004800111024,P20809,IL11,Inflammation,Unique Protein
OID20456,930,0.0021750996030814513,0.029959978573754324,0.9421402782958862,0.9978816894349033,35.59066468465264,Q96PD4,IL17F,Inflammation,Unique Protein
OID20457,930,0.009811973233044599,0.03036763281202574,0.746689138071169,0.9920158219912458,27.715294351221438,O76038,SCGN,Inflammation,Unique Protein
